name,domain,source,acquisition_mode,validation_status,use,itemids,notes,backbone,unit,normalization_rule,missingness_expectation
age,static_context,admissions/patients or cohort table,Derived,Direct-existing,static context,,Age at ICU admission.,True,,native units or source-native encoding,low
sex,static_context,patients,Direct,Direct-existing,static context,,,True,,native units or source-native encoding,low
icu_intime,static_context,icustays.intime,Direct,Direct-existing,relative timing anchor,,,True,,native units or source-native encoding,low
icu_outtime,static_context,icustays.outtime,Direct,Direct-existing,censoring,,,True,,native units or source-native encoding,low
hospital_death_status,static_context,admissions/discharge metadata,Direct,Direct-existing,mortality baseline,,,True,,native units or source-native encoding,low
icu_los_hours,static_context,icustays,Derived,Direct-existing,LOS baseline,,,True,hours,native units or source-native encoding,low
ckd,static_context,diagnoses_icd,Direct,Direct-existing,AKI comorbidity,,,True,,native units or source-native encoding,low
diabetes,static_context,diagnoses_icd,Direct,Direct-existing,AKI/sepsis risk,,,True,,native units or source-native encoding,low
hypertension,static_context,diagnoses_icd,Direct,Direct-existing,cardiovascular context,,,True,,native units or source-native encoding,low
cognitive_impairment_or_dementia,static_context,diagnoses_icd,Direct,Planned source-confirmed,delirium risk,,,False,,native units or source-native encoding,low
copd,static_context,diagnoses_icd,Direct,Planned source-confirmed,ARF context,,,False,,native units or source-native encoding,low
atrial_fibrillation,static_context,diagnoses_icd,Direct,Planned source-confirmed,cardiovascular context,,,False,,native units or source-native encoding,low
liver_disease,static_context,diagnoses_icd,Direct,Planned source-confirmed,SOFA/liver context,,,False,,native units or source-native encoding,low
prior_stroke_or_stroke_family,static_context,diagnoses_icd,Direct,Direct-validated,stroke-proxy cohort,,Use ICD families I60-I64/G45 and legacy prefixes.,False,,native units or source-native encoding,low
elixhauser_score,static_context,diagnoses_icd,Derived,Planned,general severity/comorbidity,,,False,,native units or source-native encoding,low
heart_rate,hourly_vitals,chartevents,Direct,Direct-existing,all conditions,,,True,beats/min,native units or source-native encoding,low_to_medium
sbp,hourly_vitals,chartevents,Direct,Direct-existing,hemodynamics,,,True,mmHg,native units or source-native encoding,low_to_medium
dbp,hourly_vitals,chartevents,Direct,Direct-existing,hemodynamics,,,True,mmHg,native units or source-native encoding,low_to_medium
map_noninvasive,hourly_vitals,chartevents,Direct,Direct-validated,fallback MAP,220181,,False,mmHg,native units or source-native encoding,low_to_medium
map_invasive,hourly_vitals,chartevents,Direct,Direct-validated,preferred MAP,220052,,False,mmHg,native units or source-native encoding,low_to_medium
map_merged,hourly_vitals,chartevents,Derived,Direct-validated,merged MAP,,"Invasive priority, NIBP fallback.",True,mmHg,"Prefer invasive MAP when available, otherwise non-invasive MAP.",low_to_medium
resp_rate,hourly_vitals,chartevents,Direct,Direct-existing,ARF/sepsis,,,True,breaths/min,native units or source-native encoding,low_to_medium
spo2,hourly_vitals,chartevents,Direct,Direct-existing,ARF,,,True,percent,native units or source-native encoding,low_to_medium
temperature_f,hourly_vitals,chartevents,Direct,Direct-validated,temperature normalization,223761,,False,degF,native units or source-native encoding,low_to_medium
temperature_c_raw,hourly_vitals,chartevents,Direct,Direct-validated,temperature normalization,223762,,False,degC,native units or source-native encoding,low_to_medium
temperature_c,hourly_vitals,chartevents,Derived,Direct-validated,all conditions,,Normalized to Celsius.,True,degC,Convert Fahrenheit readings to Celsius; keep Celsius readings unchanged.,low_to_medium
weight,hourly_vitals,chartevents,Direct,Direct-existing,context/dosing,,,False,kg,native units or source-native encoding,low_to_medium
urine_output_items,hourly_vitals,outputevents,Direct multi-item,Direct-validated,AKI/fluid balance,"226559,226560,226561,226563,226564,226565,226566,226567,226627,226631,227489",,False,,Aggregate validated urine-output itemids to hourly totals.,low_to_medium
urineoutput,hourly_vitals,outputevents aggregate,Derived,Direct-validated,AKI/sepsis,,Hourly urine output aggregate.,True,mL/hour,Hourly aggregate from validated outputevents itemids.,low_to_medium
gcs_eye,neurologic,chartevents,Direct,Direct-existing,neuro,220739,,True,score,native units or source-native encoding,medium
