provider,model_name,task_id,dimension_id,score_kind,strat_key,strat_value,n_rows,n_positive_truth,n_positive_pred,binary_accuracy,event_presence_auroc,event_presence_auprc,brier,positive_exact_hour_rate,positive_tolerance_1h_rate,median_abs_hour_error,accuracy,macro_f1,balanced_accuracy,truth_distribution,pred_distribution,exact_match,tolerance_1,median_abs_error
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,anchor_time_bin,T=24,5,5.0,5.0,1.0,,1.0,0.009999999999999995,0.6,0.6,0.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,anchor_time_bin,T=48,720,720.0,687.0,0.9541666666666667,,1.0,0.04755555555555556,0.2263888888888889,0.3013888888888889,6.0,,,,,,,,
gemini31pro,gemini-3.1-pro-high,AKI-S1,D1,event_time,anchor_time_bin,T=48,1,1.0,1.0,1.0,,1.0,0.009999999999999995,0.0,0.0,20.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,anchor_time_bin,T=6,209,209.0,201.0,0.9617224880382775,,1.0,0.04345693779904306,0.42105263157894735,0.6028708133971292,1.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,representation_profile,full_ab1b2b3,934,934.0,893.0,0.9561027837259101,,1.0,0.046437366167023555,0.27194860813704497,0.37044967880085655,4.0,,,,,,,,
gemini31pro,gemini-3.1-pro-high,AKI-S1,D1,event_time,representation_profile,full_ab1b2b3,1,1.0,1.0,1.0,,1.0,0.009999999999999995,0.0,0.0,20.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,trajectory_tier,atypical_low_support,512,512.0,494.0,0.96484375,,1.0,0.03921875,0.296875,0.373046875,4.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,trajectory_tier,atypical_supported,44,44.0,43.0,0.9772727272727273,,1.0,0.028181818181818183,0.3181818181818182,0.4772727272727273,3.0,,,,,,,,
gemini31pro,gemini-3.1-pro-high,AKI-S1,D1,event_time,trajectory_tier,atypical_supported,1,1.0,1.0,1.0,,1.0,0.009999999999999995,0.0,0.0,20.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,trajectory_tier,low_template_support,371,371.0,349.0,0.9407008086253369,,1.0,0.05925202156334231,0.22911051212938005,0.3477088948787062,3.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,trajectory_tier,typical_supported,7,7.0,7.0,1.0,,1.0,0.009999999999999995,0.42857142857142855,0.7142857142857143,1.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,anchor_time_bin,T=24,5,0.0,5.0,0.0,,,0.8100000000000002,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,anchor_time_bin,T=48,724,0.0,72.0,0.9005524861878453,,,0.08955801104972376,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,anchor_time_bin,T=6,209,0.0,15.0,0.9282296650717703,,,0.06741626794258374,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,representation_profile,full_ab1b2b3,938,0.0,92.0,0.9019189765458422,,,0.08846481876332624,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,trajectory_tier,atypical_low_support,514,0.0,54.0,0.8949416342412452,,,0.09404669260700389,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,trajectory_tier,atypical_supported,45,0.0,13.0,0.7111111111111111,,,0.24111111111111114,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,trajectory_tier,low_template_support,372,0.0,25.0,0.9327956989247311,,,0.06376344086021506,,,,,,,,,,,
