condition,node_id,node_label,node_type,reference_source,mimic_source_raw,mimic_itemid_raw,mapped_feature_name,support_level,implementation_mode,blocking,notes
aki,ace_arb,ACEi / ARB,med,KDIGO2024CKD,prescriptions / emar,null,ace_arb_exposure,proxy_executable,event_rule,False,Medication exposure rule.
aki,aki_s1,KDIGO Stage 1,stage,KDIGO2012 §2.1.2,derived.kdigo_stages,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,aki_s2,KDIGO Stage 2,stage,KDIGO2012 §2.1.2,derived.kdigo_stages,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,aki_s3,KDIGO Stage 3,stage,KDIGO2012 §2.1.2,derived.kdigo_stages,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,amphotericin,Amphotericin B,med,KDIGO2012 §5,prescriptions / emar,null,nephrotoxic_drug_active,proxy_executable,event_rule,False,Medication class rule on timeline.
aki,anuria,Anuria (<100 mL/12h),symptom,KDIGO2012 Stage 3,outputevents (derived),null,urineoutput,proxy_executable,direct_feature,False,Derived severe urine reduction.
aki,bicarbonate,HCO₃⁻ ↓,lab,Bellomo2012,labevents,50882,bicarbonate,core_executable,direct_feature,False,Metabolic acidosis support.
aki,bun,BUN ↑,lab,Bellomo2012,labevents,51006,bun,core_executable,direct_feature,False,Renal burden marker.
aki,calcium,Ca²⁺ ↓ (Hypocalcaemia),lab,Bellomo2012,labevents,50893,calcium,proxy_executable,direct_feature,False,Secondary metabolic marker.
aki,cardiac_surgery,Post Cardiac Surgery,comorbid,KDIGO2012 §3,procedureevents,null,cardiac_surgery_context,reference_only,not_implemented,False,No explicit current feature.
aki,ckd,CKD (Baseline eGFR ↓),comorbid,KDIGO2024CKD,diagnoses_icd (N18.*),null,ckd,core_executable,direct_feature,False,Static comorbidity.
aki,contrast,IV Contrast (CT/Angiography),med,KDIGO2012 CI-AKI,procedureevents,null,contrast_exposure,proxy_executable,event_rule,False,Procedure/medication exposure rule.
aki,cvp_elevated,CVP ↑ (Venous Congestion),vital,Mullens2019,chartevents,220074,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,cystatin_c,Cystatin C ↑,lab,KDIGO2024CKD,labevents (if available),null,reference_only_signal,reference_only,not_implemented,False,Requires unsupported imaging/research assay or non-MIMIC-standard measurement.
aki,diabetes,Diabetes Mellitus,comorbid,KDIGO2024CKD,diagnoses_icd (E11.*),null,diabetes,proxy_executable,direct_feature,False,Static comorbidity.
aki,diuretics,Diuretics (Furosemide),med,KDIGO2012 §4,inputevents,228340,diuretic_exposure,proxy_executable,event_rule,False,Medication exposure rule.
aki,egfr,eGFR ↓,lab,KDIGO2024CKD,derived (CKD-EPI equation),null,ckd,proxy_executable,direct_feature,False,Static comorbidity.
aki,fever,Fever (T > 38.3°C),vital,SurvivingSepsis,chartevents,"[223761, 223762]",temperature_c,proxy_executable,direct_feature,False,Temperature-derived fever.
aki,fluid_overload,Fluid Overload / Edema,symptom,KDIGO2012 §4,inputevents − outputevents (fluid balance),null,fluid_balance,proxy_executable,direct_feature,False,Positive balance proxy.
aki,fluids_iv,IV Fluid Resuscitation (Crystalloid),med,KDIGO2012 §3,inputevents,null,fluid_input_hourly,core_executable,direct_feature,False,IV fluid burden.
aki,heart_failure,Heart Failure (Cardiorenal),comorbid,Mullens2019,diagnoses_icd (I50.*),null,heart_failure_context,reference_only,not_implemented,False,Not in current v3 static context.
aki,hypotension,Hypotension (SBP < 90 mmHg),vital,KDIGO2012 §3,chartevents,"[220050, 220179]",sbp,proxy_executable,direct_feature,False,Hypotension proxied by SBP.
aki,il18,IL-18 ↑ (urine),lab,Matarneh2025,research assay,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,kim1,KIM-1 ↑ (urine),lab,Matarneh2025,research assay,null,reference_only_signal,reference_only,not_implemented,False,Requires unsupported imaging/research assay or non-MIMIC-standard measurement.
aki,lactate,Lactate ↑,lab,SurvivingSepsis,labevents,50813,lactate,proxy_executable,direct_feature,False,Perfusion/sepsis context.
aki,liver_disease,Hepatorenal Syndrome,comorbid,EASL2018,diagnoses_icd (K76.7),null,liver_disease,proxy_executable,direct_feature,False,Static comorbidity.
aki,low_spo2,SpO₂ ↓,vital,NICE2019,chartevents,220277,spo2,proxy_executable,direct_feature,False,Hypoxia proxy from SpO2.
aki,map_low,MAP < 65 mmHg,vital,SurvivingSepsis,chartevents,220052,map_merged,core_executable,derived_feature,False,Low MAP derived from merged MAP.
aki,met_acidosis,"Metabolic Acidosis (pH ↓, AG ↑)",symptom,KDIGO2012,"labevents (pH 50820, AG derived)",null,ph,proxy_executable,direct_feature,False,Derived from pH/bicarbonate/anion gap.
aki,nausea,Nausea / Vomiting,symptom,Bellomo2012,clinical notes (NLP),null,note_symptom_proxy,proxy_executable,note_proxy,False,Only available as note-level proxy in B2.
aki,nephrotoxic_amino,Aminoglycosides,med,KDIGO2012 §5,prescriptions / emar,null,nephrotoxic_drug_active,proxy_executable,event_rule,False,Medication class rule on timeline.
aki,nephrotoxic_nsaid,NSAIDs,med,KDIGO2012 §5,prescriptions / emar,null,nephrotoxic_drug_active,proxy_executable,event_rule,False,Medication class rule on timeline.
aki,ngal,NGAL ↑ (urine/plasma),lab,Matarneh2025,research assay (not standard MIMIC),null,reference_only_signal,reference_only,not_implemented,False,Requires unsupported imaging/research assay or non-MIMIC-standard measurement.
aki,oliguria,Oliguria (<0.5 mL/kg/h),symptom,KDIGO2012,outputevents (derived),null,urineoutput,core_executable,derived_feature,False,Derived from hourly urine output.
aki,phosphate,Phosphate ↑,lab,KDIGO2012,labevents,50970,phosphate,proxy_executable,direct_feature,False,Secondary renal/metabolic marker.
aki,potassium,K⁺ ↑ (Hyperkalaemia),lab,KDIGO2012 §4,labevents,50971,potassium,core_executable,direct_feature,False,Electrolyte complication signal.
aki,rhabdomyolysis,Rhabdomyolysis (CK ↑↑),symptom,NICE2019,labevents (CK 50910),50910,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,rrt,Renal Replacement Therapy (RRT),med,KDIGO2012 §5,procedureevents / chartevents (CRRT),null,rrt_active,core_executable,direct_feature,False,RRT status.
aki,scr,Serum Creatinine ↑,lab,KDIGO2012 §2.1,labevents,50912,creatinine,core_executable,direct_feature,False,Primary AKI functional marker.
aki,sepsis,Sepsis (Sepsis-3),comorbid,SurvivingSepsis,derived.sepsis3,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,tachycardia,Tachycardia (HR > 100),vital,Bellomo2012,chartevents,220045,heart_rate,proxy_executable,direct_feature,False,Tachycardia from hourly HR.
aki,timp2_igfbp7,[TIMP-2]·[IGFBP7] (NephroCheck),lab,Matarneh2025,NephroCheck assay,null,reference_only_signal,reference_only,not_implemented,False,Requires unsupported imaging/research assay or non-MIMIC-standard measurement.
aki,uremic_enceph,Uremic Encephalopathy,symptom,Bellomo2012,clinical notes (NLP),null,note_symptom_proxy,proxy_executable,note_proxy,False,Only available as note-level proxy in B2.
aki,urine_output,Urine Output,lab,KDIGO2012 §2.1,outputevents,null,urineoutput,core_executable,direct_feature,False,Core AKI urine signal.
aki,urine_sediment,"Urine Sediment (Casts, RTE cells)",symptom,KDIGO2012 §2.5,microbiologyevents / clinical notes,null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
aki,vancomycin,Vancomycin,med,KDIGO2012 §5,prescriptions / emar,null,nephrotoxic_drug_active,proxy_executable,event_rule,False,Medication class rule on timeline.
aki,vasopressors,Vasopressors (Norepinephrine),med,SurvivingSepsis,inputevents,221906,vasopressors_active,core_executable,direct_feature,False,Hemodynamic support flag.
aki,__phase_required::aki_phase_1::kdigo_stage,Required phase feature: kdigo_stage,stage,phase_requirement,,,kdigo_stage,reference_only,not_implemented,True,Phase aki_phase_1 cannot be executed without kdigo_stage.
aki,__required::kdigo_stage,Required executable feature: kdigo_stage,stage,wave1_requirement,,,kdigo_stage,reference_only,not_implemented,True,Core requirement missing from executable subgraph.
delirium,age_advanced,Age ≥ 65,comorbid,PADIS2018 (non-modifiable),patients (anchor_age),null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
delirium,agitation,Agitation (RASS +2 to +4),symptom,PADIS2018,chartevents (RASS),228096,rass,proxy_executable,direct_feature,False,Positive RASS range.
delirium,albumin_d,Albumin ↓,lab,Zaal2015,labevents,50862,albumin,proxy_executable,direct_feature,False,"Albumin available, medium coverage."
delirium,alcohol_withdrawal,Alcohol Withdrawal,comorbid,Inouye2006,diagnoses_icd (F10.2*),null,unmapped_reference,reference_only,not_implemented,False,No safe executable mapping was found.
delirium,altered_loc,Altered Level of Consciousness (CAM Feature 4),symptom,DSM5 / Ely2001,RASS ≠ 0,null,rass,core_executable,derived_feature,False,RASS deviation proxy.
delirium,ammonia_d,Ammonia ↑,lab,Maldonado2018,labevents,null,reference_only_signal,reference_only,not_implemented,False,Requires unsupported imaging/research assay or non-MIMIC-standard measurement.
